Ethereum,Ethereum,Ethereum
Date,Price,Volume
10/28/2017,304.040009,107293933
10/29/2017,306.799988,57189166
10/30/2017,303.640015,65784953
10/31/2017,289.420013,121046164
11/1/2017,284.920013,200255173
11/2/2017,304.51001,144510264
11/3/2017,300.040009,82749431
11/4/2017,296.230011,63667315
11/5/2017,296.820007,112601694
11/6/2017,291.839996,155572238
11/7/2017,307.350006,245218193
11/8/2017,319.660004,207473774
11/9/2017,296.859985,242321395
11/10/2017,314.230011,163117794
11/11/2017,306.019989,269198764
11/12/2017,314.600006,174789178
11/13/2017,334.720001,256426287
11/14/2017,331.200012,171713343
11/15/2017,330.320007,157426941
11/16/2017,331.720001,124992568
11/17/2017,346.649994,141724984
11/18/2017,354.600006,225946121
11/19/2017,367.709991,167626773
11/20/2017,360.519989,251898109
11/21/2017,380.839996,164317320
11/22/2017,406.570007,414164352
11/23/2017,470.429993,394452948
11/24/2017,464.609985,301212841
11/25/2017,470.540009,172973289
11/26/2017,475.23999,319587125
11/27/2017,466.269989,258005286
11/28/2017,427.420013,619578824
11/29/2017,434.850006,438013592
11/30/2017,461.579987,259931075
12/1/2017,457.959991,214732551
12/2/2017,462.809998,237918665
12/3/2017,466.929993,189877684
12/4/2017,453.959991,227246572
12/5/2017,422.480011,470223347
12/6/2017,421.149994,416652301
12/7/2017,451.73999,479837604
12/8/2017,472.859985,522718280
12/9/2017,436.48999,307733091
12/10/2017,513.289978,359245523
12/11/2017,656.52002,997267993
12/12/2017,699.090027,1324617349
12/13/2017,693.580017,806129945
12/14/2017,684.27002,633348317
12/15/2017,692.830017,378863163
12/16/2017,717.710022,381124251
12/17/2017,785.98999,752383737
12/18/2017,812.5,1094688835
12/19/2017,799.169983,889990388
12/20/2017,789.390015,725479885
12/21/2017,657.830017,1535685091
12/22/2017,700.440002,468771914
12/23/2017,675.909973,477777689
12/24/2017,723.140015,382873119
12/25/2017,753.400024,293691001
12/26/2017,739.940002,352542483
12/27/2017,716.690002,437323299
12/28/2017,739.599976,392497843
12/29/2017,692.98999,455555629
12/30/2017,741.130005,259822610
12/31/2017,756.200012,256171569
1/1/2018,861.969971,949013949
1/2/2018,941.099976,778108786
1/3/2018,944.830017,780050914
1/4/2018,967.130005,808280779
1/5/2018,1006.409973,381555969
1/6/2018,1117.75,602250144
1/7/2018,1136.109985,1292737991
1/8/2018,1289.23999,986697724
1/9/2018,1248.98999,1445484601
1/10/2018,1139.319946,1270849838
1/11/2018,1261.030029,704750432
1/12/2018,1385.02002,744906594
1/13/2018,1359.47998,610496132
1/14/2018,1278.689941,537797572
1/15/2018,1050.26001,1931700742
1/16/2018,1024.689941,2034010888
1/17/2018,1012.969971,1117430433
1/18/2018,1037.359985,517599347
1/19/2018,1150.5,545646401
1/20/2018,1049.089966,543760385
1/21/2018,999.640015,676845706
1/22/2018,984.469971,660805261
1/23/2018,1061.780029,521553676
1/24/2018,1046.369995,568607934
1/25/2018,1048.579956,509049582
1/26/2018,1109.079956,395059716
1/27/2018,1231.579956,662174309
1/28/2018,1169.959961,515965244
1/29/2018,1063.75,835962532
1/30/2018,1111.310059,550605628
1/31/2018,1026.189941,1033001644
2/1/2018,917.469971,1606436956
2/2/2018,970.869995,552868551
2/3/2018,827.590027,666593264
2/4/2018,695.080017,1272929187
2/5/2018,785.01001,1556542861
2/6/2018,751.809998,895500139
2/7/2018,813.549988,510550202
2/8/2018,877.880005,469210004
2/9/2018,850.75,451412405
2/10/2018,811.23999,308313754
2/11/2018,865.27002,300521830
2/12/2018,840.97998,256092877
2/13/2018,920.109985,470132510
2/14/2018,927.950012,454133646
