Bitcoin,Bitcoin,Bitcoin
Date,Price,Volume
7/15/2015,276.589996,34155564
7/16/2015,279.619995,17217352
7/17/2015,274.049988,15358107
7/18/2015,273.179993,8322466
7/19/2015,277.679993,12900609
7/20/2015,275.089996,13667891
7/21/2015,276.459991,11596311
7/22/2015,275.519989,9870635
7/23/2015,288.369995,21095041
7/24/2015,288.73999,12024889
7/25/2015,291.769989,9038050
7/26/2015,293.01001,20358325
7/27/2015,293.700012,14466428
7/28/2015,288.369995,14738216
7/29/2015,287.019989,12888680
7/30/2015,283.730011,14019071
7/31/2015,280.470001,11068826
8/1/2015,281.359985,9978638
8/2/2015,281.579987,13006246
8/3/2015,284.299988,12732203
8/4/2015,281.720001,10854754
8/5/2015,278,9319083
8/6/2015,277.890015,11919665
8/7/2015,258.600006,22308123
8/8/2015,263.869995,15154749
8/9/2015,263.299988,12873441
8/10/2015,269.029999,13681939
8/11/2015,267.660004,15232934
8/12/2015,263.440002,14962211
8/13/2015,265.029999,13899139
8/14/2015,260.519989,10303301
8/15/2015,257.119995,17880398
8/16/2015,257.130005,12378054
8/17/2015,246.720001,23896056
8/18/2015,226,55514712
8/19/2015,234.660004,21225055
8/20/2015,232.399994,13485729
8/21/2015,229.539993,16976922
8/22/2015,226.75,11204081
8/23/2015,211.429993,43008579
8/24/2015,220.509995,40651749
8/25/2015,224.970001,20986286
8/26/2015,222.729996,13631111
8/27/2015,231.639999,20751420
8/28/2015,228.5,10072201
8/29/2015,228.399994,9118089
8/30/2015,229.470001,12521966
8/31/2015,227.179993,15206241
9/1/2015,228.630005,13443780
9/2/2015,226.199997,12337406
9/3/2015,230.25,14174313
9/4/2015,233.669998,11253257
